INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
80-21-064148,2021-10-31 04:35:00,2021-10-31 04:35:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,624,CHILD DAYCARE FACILITY                       ,6200 BLOCK SHEPHERDSVILLE RD                                ,LOUISVILLE,40228.0
80-21-063438,2021-10-27 21:26:00,2021-10-27 21:26:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 22ND ST / MAGAZINE ST                                     ,LOUISVILLE,40211.0
80-21-063406,2021-10-27 18:30:00,2021-10-27 18:17:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,3400 BLOCK NORTHWESTERN PKY                                 ,LOUISVILLE,40212.0
80-21-063176,2021-10-26 19:43:00,2021-10-26 19:43:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,411,HIGHWAY / ROAD / ALLEY                       ,@I65S AT E ST CATHERINE ST                                  ,LOUISVILLE,40203.0
80-21-063132,2021-10-26 17:00:00,2021-10-26 15:50:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,PARKING LOT / GARAGE                         ,200 BLOCK N 17TH ST                                         ,LOUISVILLE,40203.0
80-21-062579,2021-10-23 23:30:00,2021-10-23 23:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,2400 BLOCK LINDBERGH DR                                     ,LOUISVILLE,40208.0
80-21-062415,2021-10-23 05:30:00,2021-10-23 05:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,3100 BLOCK ELLIOTT AVE                                      ,LOUISVILLE,40211.0
80-21-061503,2021-10-19 03:27:00,2021-10-19 03:02:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,3RD DIVISION,331,RESIDENCE / HOME                             ,6300 BLOCK KRAUSE AVE                                       ,LOUISVILLE,40216.0
80-21-060922,2021-10-16 12:23:00,2021-10-16 04:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,@ARTHUR ST TO I65S                                          ,LOUISVILLE,40208.0
80-21-060893,2021-10-15 22:44:00,2021-10-15 22:44:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY                       ,1200 BLOCK FOREST DR                                        ,LOUISVILLE,40219.0
80-21-060409,2021-10-13 23:29:00,2021-10-13 23:29:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,OTHER RESIDENCE (APARTMENT/CONDO)            ,6100 BLOCK GUARDIAN CT                                      ,LOUISVILLE,40219.0
80-21-058988,2021-10-07 08:42:00,2021-10-07 08:42:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,RESIDENCE / HOME                             ,1800 BLOCK BANK ST                                          ,LOUISVILLE,40203.0
80-21-058662,2021-10-05 22:27:00,2021-10-05 22:27:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,3800 BLOCK BLEVINS GAP RD                                   ,LOUISVILLE,40272.0
80-21-058083,2021-10-03 01:23:00,2021-10-03 01:23:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,123,RESIDENCE / HOME                             ,1200 BLOCK PLACE NOIR                                       ,LOUISVILLE,40203.0
80-21-058023,2021-10-02 17:15:00,2021-10-02 17:15:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,OTHER RESIDENCE (APARTMENT/CONDO)            ,1600 BLOCK MOORE CT                                         ,LOUISVILLE,40210.0
80-21-057940,2021-10-02 08:06:00,2021-10-02 08:06:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HOTEL / MOTEL / ETC.                         ,7100 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219.0
80-21-057502,2021-09-29 22:21:00,2021-09-29 22:21:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,METRO LOUISVILLE,AUD,HIGHWAY / ROAD / ALLEY                       ,PRESTON HWY / READING RD                                    ,AUDUBON_PARK,40217.0
80-21-056908,2021-09-27 10:44:00,2021-09-27 10:44:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,513,RESIDENCE / HOME                             ,2000 BLOCK WOODBOURNE AVE                                   ,LOUISVILLE,40205.0
80-21-056808,2021-09-26 21:31:00,2021-09-26 21:31:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3600 BLOCK LENTZ AVE                                        ,LOUISVILLE,40215.0
80-21-056633,2021-09-25 22:33:00,2021-09-25 22:33:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,SERVICE / GAS STATION                        ,2100 BLOCK DUNCAN ST                                        ,LOUISVILLE,40212.0
80-21-056413,2021-09-24 23:00:00,2021-09-24 20:55:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,1300 BLOCK DIXIE HWY                                        ,LOUISVILLE,40210.0
80-21-056209,2021-09-24 06:00:00,2021-09-24 05:28:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,I 264 RAMP / TAYLOR BLVD                                    ,LOUISVILLE,40215.0
80-21-056193,2021-09-24 00:47:00,2021-09-24 00:47:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,724,PARKING LOT / GARAGE                         ,10400 BLOCK HILLPARK DR                                     ,LOUISVILLE,40229.0
80-21-056073,2021-09-23 14:11:00,2021-09-20 16:00:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,METRO LOUISVILLE,WB,RESIDENCE / HOME                             ,3700 BLOCK ROOSEVELT AVE                                    ,WEST_BUECHEL,40218.0
80-21-055792,2021-09-22 06:19:00,2021-09-22 06:12:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,W CHESTNUT ST / DR W J HODGE ST                             ,LOUISVILLE,40203.0
80-21-055719,2021-09-21 19:18:00,2021-09-21 19:18:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK BANK ST                                          ,LOUISVILLE,40203.0
80-21-054742,2021-09-16 23:02:00,2021-09-16 23:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,PARKING LOT / GARAGE                         ,7600 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219.0
80-21-053832,2021-09-12 21:11:00,2021-09-12 21:11:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,HIGHWAY / ROAD / ALLEY                       ,@BLACK MUDD PARK                                            ,LOUISVILLE,40219.0
80-21-053433,2021-09-10 22:08:00,2021-09-10 22:08:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 24TH ST                                         ,LOUISVILLE,40211.0
80-21-052822,2021-09-08 00:55:00,2021-09-08 00:55:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,2700 BLOCK SLEVIN ST                                        ,LOUISVILLE,40212.0
80-21-052633,2021-09-07 07:31:00,2021-09-07 07:31:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,OTHER / UNKNOWN                              ,4500 BLOCK W BROADWAY                                       ,LOUISVILLE,40211.0
80-21-052200,2021-09-04 19:17:00,2021-09-04 19:17:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,700 BLOCK W WHITNEY AVE                                     ,LOUISVILLE,40215.0
80-21-051921,2021-09-03 11:47:00,2021-09-03 11:47:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,800 BLOCK CECIL AVE                                         ,LOUISVILLE,40211.0
80-21-051613,2021-09-01 22:02:00,2021-09-01 22:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,5500 BLOCK AILANTHUS TRL                                    ,LOUISVILLE,40219.0
80-21-051559,2021-09-01 16:25:00,2021-09-01 16:25:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY                       ,JEFFERSON BLVD / POPLAR LEVEL RD                            ,LOUISVILLE,40219.0
80-21-053186,2021-08-25 19:00:00,2021-08-25 19:00:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE                         ,3400 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40219.0
80-21-050113,2021-08-25 19:00:00,2021-08-25 19:00:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE                         ,3400 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40219.0
80-21-049871,2021-08-24 15:00:00,2021-08-24 14:46:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,4200 BLOCK NORENE LN                                        ,LOUISVILLE,40219.0
80-21-049512,2021-08-23 01:11:00,2021-08-23 01:11:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,2200 BLOCK STANDARD AVE                                     ,LOUISVILLE,40210.0
80-21-049478,2021-08-22 19:47:00,2021-08-22 19:47:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,3800 BLOCK GREENWOOD AVE                                    ,LOUISVILLE,40211.0
80-21-049264,2021-08-21 19:06:00,2021-08-21 19:06:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,5700 BLOCK OXFORD PL                                        ,LOUISVILLE,40291.0
80-21-049102,2021-08-20 23:34:00,2021-08-20 23:34:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,1300 BLOCK S PRESTON ST                                     ,LOUISVILLE,40203.0
80-21-048870,2021-08-19 20:29:00,2021-08-19 20:29:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,S 9TH ST / W BROADWAY                                       ,LOUISVILLE,40203.0
80-21-048573,2021-08-18 15:46:00,2021-08-18 15:46:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,500 BLOCK E BURNETT AVE                                     ,LOUISVILLE,40217.0
80-21-048417,2021-08-18 00:10:00,2021-08-18 00:10:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,CONVENIENCE STORE                            ,500 BLOCK N 22ND ST                                         ,LOUISVILLE,40203.0
80-21-047987,2021-08-15 22:18:00,2021-08-15 22:18:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,600 BLOCK S 26TH ST                                         ,LOUISVILLE,40211.0
80-21-047943,2021-08-15 17:27:00,2021-08-15 17:27:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,13700 BLOCK LYONS AVE                                       ,LOUISVILLE,40272.0
80-21-047846,2021-08-15 03:39:00,2021-08-15 03:39:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,1600 BLOCK W LEE ST                                         ,LOUISVILLE,40210.0
80-21-047659,2021-08-14 07:21:00,2021-08-14 07:21:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,METRO LOUISVILLE,GD,OTHER / UNKNOWN                              ,9900 BLOCK LA GRANGE RD                                     ,GRAYMOOR/DEVONDALE,40223.0
80-21-047235,2021-08-12 02:51:00,2021-08-12 02:51:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,323,COMMERCIAL / OFFICE BUILDING                 ,8400 BLOCK NATIONAL TPKE                                    ,LOUISVILLE,40214.0
80-21-046377,2021-08-08 00:45:00,2021-08-08 00:15:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3300 BLOCK UTAH AVE                                         ,LOUISVILLE,40215.0
80-21-046209,2021-08-07 03:42:00,2021-08-07 03:42:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,SERVICE / GAS STATION                        ,4300 BLOCK S 3RD ST                                         ,LOUISVILLE,40214.0
80-21-044893,2021-08-01 03:54:00,2021-08-01 03:54:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,1000 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40204.0
80-21-043948,2021-07-27 23:09:00,2021-07-27 23:09:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,3700 BLOCK W MAIN ST                                        ,LOUISVILLE,40212.0
80-21-043563,2021-07-26 13:00:00,2021-07-26 13:00:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,436,OTHER / UNKNOWN                              ,100 BLOCK ROCHESTER DR                                      ,LOUISVILLE,40214.0
80-21-043420,2021-07-25 23:21:00,2021-07-25 23:21:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,S JACKSON ST / E JEFFERSON ST                               ,LOUISVILLE,40202.0
80-21-042611,2021-07-22 01:46:00,2021-07-22 01:46:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212.0
80-21-042569,2021-07-21 20:48:00,2021-07-21 20:48:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212.0
80-21-041020,2021-07-15 07:39:00,2021-07-15 07:39:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,11800 BLOCK MAHOGANY DR                                     ,LOUISVILLE,40272.0
80-21-040718,2021-07-13 18:05:00,2021-07-13 16:27:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,700 BLOCK TRAFALGAR SQ                                      ,LOUISVILLE,40218.0
80-21-040059,2021-07-10 17:42:00,2021-07-10 17:42:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,M ST / RODMAN ST                                            ,LOUISVILLE,40208.0
80-21-039876,2021-07-09 19:07:00,2021-07-09 19:07:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,2200 BLOCK CLEVELAND AVE                                    ,LOUISVILLE,40212.0
80-21-039214,2021-07-06 20:48:00,2021-07-06 20:48:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,W BROADWAY / DR W J HODGE ST                                ,LOUISVILLE,40203.0
80-21-038830,2021-07-05 03:22:00,2021-07-05 03:22:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY                       ,7900 BLOCK JONQUIL DR                                       ,LOUISVILLE,40258.0
80-21-038622,2021-07-04 01:31:00,2021-07-04 01:31:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,512,HIGHWAY / ROAD / ALLEY                       ,900 BLOCK BAXTER AVE                                        ,LOUISVILLE,40204.0
80-21-038503,2021-07-03 10:37:00,2021-07-03 10:37:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,236,RESIDENCE / HOME                             ,4700 BLOCK CLARION CT                                       ,LOUISVILLE,40216.0
80-21-038372,2021-07-02 19:18:00,2021-07-02 19:18:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,1800 BLOCK ROWAN ST                                         ,LOUISVILLE,40203.0
80-21-037264,2021-06-28 00:02:00,2021-06-28 00:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,@ROY WILKINS TO I64W                                        ,LOUISVILLE,40202.0
80-21-036186,2021-06-23 01:31:00,2021-06-23 01:31:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,525,PARK / PLAYGROUND                            ,3700 BLOCK RIVER RD                                         ,LOUISVILLE,40207.0
80-21-035633,2021-06-20 19:35:00,2021-06-20 19:35:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,3900 BLOCK 7TH STREET RD                                    ,LOUISVILLE,40216.0
80-21-035586,2021-06-20 14:54:00,2021-06-20 14:54:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,DATE ST / DR W J HODGE ST                                   ,LOUISVILLE,40210.0
80-21-035496,2021-06-20 02:51:00,2021-06-20 02:51:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,323,OTHER / UNKNOWN                              ,7100 BLOCK YORKTOWN TER                                     ,LOUISVILLE,40214.0
80-21-035174,2021-06-18 17:45:00,2021-06-18 17:31:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,711,RESIDENCE / HOME                             ,6800 BLOCK SHIBLEY AVE                                      ,LOUISVILLE,40291.0
80-21-035157,2021-06-18 16:06:00,2021-06-18 16:06:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,S 40TH ST / GRAND AVE                                       ,LOUISVILLE,40211.0
80-21-034970,2021-06-17 11:54:00,2021-06-17 08:30:00,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1500 BLOCK S 31ST ST                                        ,LOUISVILLE,40211.0
80-21-034779,2021-06-17 01:41:00,2021-06-17 01:41:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,512,PARKING LOT / GARAGE                         ,1100 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40204.0
80-21-034493,2021-06-15 20:34:00,2021-06-15 20:34:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,7900 BLOCK 3RD STREET RD                                    ,LOUISVILLE,40214.0
80-21-034070,2021-06-14 07:43:00,2021-06-14 07:43:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,411,OTHER RESIDENCE (APARTMENT/CONDO)            ,1300 BLOCK S FLOYD ST                                       ,LOUISVILLE,40208.0
80-21-033959,2021-06-13 16:36:00,2021-06-13 16:36:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,700 BLOCK DENMARK ST                                        ,LOUISVILLE,40215.0
80-21-033829,2021-06-13 00:02:00,2021-06-13 00:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,5200 BLOCK ROBINWOOD RD                                     ,LOUISVILLE,40218.0
80-21-033722,2021-06-12 13:44:00,2021-06-12 13:44:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,PARKING LOT / GARAGE                         ,1200 BLOCK W HILL ST                                        ,LOUISVILLE,40210.0
80-21-033619,2021-06-11 20:37:00,2021-06-11 20:37:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,4200 BLOCK GRAND AVE                                        ,LOUISVILLE,40211.0
80-21-033139,2021-06-09 21:41:00,2021-06-09 21:41:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,400 BLOCK W SOUTHSIDE CT                                    ,LOUISVILLE,40214.0
80-21-032894,2021-06-08 22:36:00,2021-06-08 22:36:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,800 BLOCK S 24TH ST                                         ,LOUISVILLE,40211.0
80-21-032606,2021-06-07 18:02:00,2021-06-07 18:02:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,PARK / PLAYGROUND                            ,500 BLOCK CALDWELL ST                                       ,LOUISVILLE,40203.0
