INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
80-21-055719,9/21/21 19:18,9/21/21 19:18,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK BANK ST                                          ,LOUISVILLE,40203
80-21-054742,9/16/21 23:02,9/16/21 23:02,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,PARKING LOT / GARAGE                         ,7600 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219
80-21-053832,9/12/21 21:11,9/12/21 21:11,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,HIGHWAY / ROAD / ALLEY                       ,@BLACK MUDD PARK                                            ,LOUISVILLE,40219
80-21-053433,9/10/21 22:08,9/10/21 22:08,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 24TH ST                                         ,LOUISVILLE,40211
80-21-052822,9/8/21 0:55,9/8/21 0:55,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,2700 BLOCK SLEVIN ST                                        ,LOUISVILLE,40212
80-21-052633,9/7/21 7:31,9/7/21 7:31,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,OTHER / UNKNOWN                              ,4500 BLOCK W BROADWAY                                       ,LOUISVILLE,40211
80-21-052200,9/4/21 19:17,9/4/21 19:17,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,700 BLOCK W WHITNEY AVE                                     ,LOUISVILLE,40215
80-21-051921,9/3/21 11:47,9/3/21 11:47,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,HIGHWAY / ROAD / ALLEY                       ,800 BLOCK CECIL AVE                                         ,LOUISVILLE,40211
80-21-051613,9/1/21 22:02,9/1/21 22:02,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,5500 BLOCK AILANTHUS TRL                                    ,LOUISVILLE,40219
80-21-051559,9/1/21 16:25,9/1/21 16:25,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,HIGHWAY / ROAD / ALLEY                       ,JEFFERSON BLVD / POPLAR LEVEL RD                            ,LOUISVILLE,40219
80-21-050113,8/25/21 19:00,8/25/21 19:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE                         ,3400 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40219
80-21-053186,8/25/21 19:00,8/25/21 19:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE                         ,3400 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40219
80-21-049871,8/24/21 15:00,8/24/21 14:46,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,RESIDENCE / HOME                             ,4200 BLOCK NORENE LN                                        ,LOUISVILLE,40219
80-21-049512,8/23/21 1:11,8/23/21 1:11,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,2200 BLOCK STANDARD AVE                                     ,LOUISVILLE,40210
80-21-049478,8/22/21 19:47,8/22/21 19:47,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,3800 BLOCK GREENWOOD AVE                                    ,LOUISVILLE,40211
80-21-049264,8/21/21 19:06,8/21/21 19:06,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,5700 BLOCK OXFORD PL                                        ,LOUISVILLE,40291
80-21-049102,8/20/21 23:34,8/20/21 23:34,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,1300 BLOCK S PRESTON ST                                     ,LOUISVILLE,40203
80-21-048870,8/19/21 20:29,8/19/21 20:29,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,123,HIGHWAY / ROAD / ALLEY                       ,S 9TH ST / W BROADWAY                                       ,LOUISVILLE,40203
80-21-048573,8/18/21 15:46,8/18/21 15:46,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,500 BLOCK E BURNETT AVE                                     ,LOUISVILLE,40217
80-21-048417,8/18/21 0:10,8/18/21 0:10,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,CONVENIENCE STORE                            ,500 BLOCK N 22ND ST                                         ,LOUISVILLE,40203
80-21-047987,8/15/21 22:18,8/15/21 22:18,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE                         ,600 BLOCK S 26TH ST                                         ,LOUISVILLE,40211
80-21-047943,8/15/21 17:27,8/15/21 17:27,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME                             ,13700 BLOCK LYONS AVE                                       ,LOUISVILLE,40272
80-21-047846,8/15/21 3:39,8/15/21 3:39,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,1600 BLOCK W LEE ST                                         ,LOUISVILLE,40210
80-21-047659,8/14/21 7:21,8/14/21 7:21,HOMICIDE,MURDER,09A,PART I,COMPLETED,METRO LOUISVILLE,GD,OTHER / UNKNOWN                              ,9900 BLOCK LA GRANGE RD                                     ,GRAYMOOR/DEVONDALE,40223
80-21-047235,8/12/21 2:51,8/12/21 2:51,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,323,COMMERCIAL / OFFICE BUILDING                 ,8400 BLOCK NATIONAL TPKE                                    ,LOUISVILLE,40214
