INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
80-21-024321,5/1/21 1:13,5/1/21 1:13,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,134,BAR / NIGHT CLUB                             ,1300 BLOCK RIVER RD                                         ,LOUISVILLE,40206
80-21-023650,4/28/21 3:22,4/28/21 3:22,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,2200 BLOCK HOWARD ST                                        ,LOUISVILLE,40211
80-21-023491,4/27/21 12:24,4/27/21 12:24,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,331,PARKING LOT / GARAGE                         ,4900 BLOCK DIXIE HWY                                        ,LOUISVILLE,40216
80-21-023062,4/25/21 11:56,4/25/21 11:56,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1800 BLOCK WENATCHEE PL                                     ,LOUISVILLE,40210
80-21-022203,4/20/21 20:43,4/20/21 20:43,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1200 BLOCK ALGONQUIN PKY                                    ,LOUISVILLE,40208
80-21-021434,4/17/21 5:06,4/17/21 5:06,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,331,HIGHWAY / ROAD / ALLEY                       ,GREENBELT HWY / LOWER HUNTERS TRCE                          ,LOUISVILLE,40258
80-21-020914,4/14/21 15:43,4/14/21 15:43,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,236,HIGHWAY / ROAD / ALLEY                       ,4500 BLOCK TRUMPET WAY                                      ,LOUISVILLE,40216
80-21-020546,4/13/21 1:31,4/13/21 1:31,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,OTHER RESIDENCE (APARTMENT/CONDO)            ,1100 BLOCK S 17TH ST                                        ,LOUISVILLE,40210
80-21-018884,4/5/21 14:30,4/5/21 14:30,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK S 22ND ST                                         ,LOUISVILLE,40211
80-21-018659,4/4/21 19:41,4/4/21 17:57,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,DR W J HODGE ST / W MADISON ST                              ,LOUISVILLE,40203
80-21-018385,4/3/21 0:18,4/2/21 19:30,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3300 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211
80-21-018350,4/2/21 21:11,4/2/21 21:11,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY                       ,OUTER LOOP / PRESTON HWY                                    ,LOUISVILLE,40219
80-21-017974,3/31/21 23:07,3/31/21 23:07,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,400 BLOCK N 21ST ST                                         ,LOUISVILLE,40203
80-21-016180,3/23/21 22:54,3/23/21 22:54,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,4400 BLOCK W MARKET ST                                      ,LOUISVILLE,40212
80-21-015730,3/21/21 22:58,3/21/21 22:58,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,500 BLOCK MONTANA AVE                                       ,LOUISVILLE,40208
80-21-015635,3/21/21 12:19,3/21/21 12:19,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,400 BLOCK S 26TH ST                                         ,LOUISVILLE,40212
80-21-015583,3/21/21 2:58,3/21/21 2:58,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,2500 BLOCK W BROADWAY                                       ,LOUISVILLE,40211
80-21-014723,3/16/21 18:30,3/16/21 18:30,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY                       ,S 12TH ST / W HILL ST                                       ,LOUISVILLE,40210
80-21-014370,3/15/21 5:33,3/15/21 4:26,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,135,HIGHWAY / ROAD / ALLEY                       ,100 BLOCK W JEFFERSON ST                                    ,LOUISVILLE,40202
80-21-013996,3/12/21 21:08,3/12/21 21:08,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,700 BLOCK M ST                                              ,LOUISVILLE,40208
80-21-012877,3/8/21 1:28,3/8/21 1:28,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,600 BLOCK S 26TH ST                                         ,LOUISVILLE,40211
80-21-012864,3/7/21 21:53,3/7/21 21:53,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,OTHER / UNKNOWN                              ,4100 BLOCK W BROADWAY                                       ,LOUISVILLE,40211
80-21-012863,3/7/21 21:40,3/7/21 21:30,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,123,OTHER / UNKNOWN                              ,900 BLOCK ESQUIRE ALY                                       ,LOUISVILLE,40203
80-21-012860,3/7/21 20:39,3/7/21 20:39,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,PARKING LOT / GARAGE                         ,1700 BLOCK HARROD CT                                        ,LOUISVILLE,40210
80-21-011664,3/1/21 18:32,3/1/21 16:27,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,315,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY / FURY WAY                                        ,LOUISVILLE,40258
80-21-011361,2/28/21 12:16,2/28/21 12:16,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 18TH ST / W MADISON ST                                    ,LOUISVILLE,40203
80-21-010902,2/26/21 0:14,2/26/21 0:14,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 19TH ST / W CHESTNUT ST                                   ,LOUISVILLE,40203
80-21-010499,2/23/21 22:37,2/23/21 22:37,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,4000 BLOCK W MARKET ST                                      ,LOUISVILLE,40212
80-21-010472,2/23/21 19:46,2/23/21 19:46,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,400 BLOCK E BRECKINRIDGE ST                                 ,LOUISVILLE,40203
80-21-009581,2/19/21 0:39,2/19/21 0:39,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,3700 BLOCK E WHEATMORE DR                                   ,LOUISVILLE,40215
80-21-009144,2/16/21 18:52,2/16/21 18:52,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4600 BLOCK SOUTHERN PKY                                     ,LOUISVILLE,40214
80-21-008547,2/12/21 21:21,2/12/21 21:21,HOMICIDE,MURDER,09A,PART I,COMPLETED,3RD DIVISION,334,HIGHWAY / ROAD / ALLEY                       ,E PAGES LN / STANDING OAK DR                                ,LOUISVILLE,40272
80-21-007616,2/8/21 8:05,2/7/21 5:24,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,7TH DIVISION,736,RESIDENCE / HOME                             ,8200 BLOCK MINOR LN                                         ,LOUISVILLE,40219
80-21-007232,2/5/21 19:30,2/5/21 19:10,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,RESIDENCE / HOME                             ,2300 BLOCK W MADISON ST                                     ,LOUISVILLE,40211
80-21-006605,2/2/21 18:00,2/2/21 17:50,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,236,HIGHWAY / ROAD / ALLEY                       ,S 40TH ST / BELLS LN                                        ,LOUISVILLE,40211
80-21-006532,2/2/21 13:01,2/2/21 13:01,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,212,RESIDENCE / HOME                             ,3500 BLOCK VIRGINIA AVE                                     ,LOUISVILLE,40211
80-21-006074,1/31/21 5:14,1/31/21 5:14,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,712,HIGHWAY / ROAD / ALLEY                       ,15 I265N                                                    ,LOUISVILLE,40228
80-21-006073,1/31/21 4:23,1/31/21 4:23,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HOTEL / MOTEL / ETC.                         ,2900 BLOCK FERN VALLEY RD                                   ,LOUISVILLE,40213
80-21-005678,1/28/21 21:36,1/28/21 21:36,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,625,HIGHWAY / ROAD / ALLEY                       ,BUECHEL BYP / HIKES LN                                      ,LOUISVILLE,40218
80-21-004284,1/21/21 20:48,1/21/21 20:48,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,600 BLOCK S 41ST ST                                         ,LOUISVILLE,40211
80-21-003928,1/20/21 10:39,12/30/20 22:30,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,RESIDENCE / HOME                             ,3400 BLOCK VETTER AVE                                       ,LOUISVILLE,40215
80-21-003872,1/19/21 22:39,1/19/21 22:39,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,900 BLOCK W FLORENCE AVE                                    ,LOUISVILLE,40215
80-21-002890,1/15/21 0:01,1/15/21 0:01,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,7TH DIVISION,712,RESIDENCE / HOME                             ,15100 BLOCK OLD TAYLORSVILLE RD                             ,LOUISVILLE,40023
80-21-002026,1/10/21 22:57,1/10/21 22:57,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,OTHER / UNKNOWN                              ,1800 BLOCK DUMESNIL ST                                      ,LOUISVILLE,40210
80-21-001894,1/10/21 3:58,1/10/21 3:58,HOMICIDE,MURDER - DOMESTIC VIOLENCE,09A,PART I,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,5000 BLOCK MARGO AVE                                        ,LOUISVILLE,40258
80-21-001890,1/10/21 2:46,1/10/21 2:46,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,BAR / NIGHT CLUB                             ,2900 BLOCK W KENTUCKY ST                                    ,LOUISVILLE,40211
80-21-001437,1/7/21 17:44,1/7/21 17:44,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,OTHER RESIDENCE (APARTMENT/CONDO)            ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212
80-21-001436,1/7/21 17:29,1/7/21 17:29,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,RESIDENCE / HOME                             ,3200 BLOCK LARKWOOD AVE                                     ,LOUISVILLE,40212
80-21-000543,1/4/21 2:39,1/4/21 2:39,HOMICIDE,MURDER,09A,PART I,COMPLETED,METRO LOUISVILLE,METRO,OTHER / UNKNOWN                              ,COMMUNITY AT LARGE,LOUISVILLE,
80-21-000059,1/1/21 7:00,1/1/21 7:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,624,PARKING LOT / GARAGE                         ,6200 BLOCK SHEPHERDSVILLE RD                                ,LOUISVILLE,40228
