X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,oid
-83.075285816,42.4210127710001,3617341,2104110187,Stender St & Maine St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/11 23:43:00+00,19:43:00,7,19,2021,1107,11,261635072002008,Cadillac Heights,3,48212,-83.0752858158493,42.421012771348,84262
-83.244946333,42.402361925,3619865,2104180250,Keeler St & Braile St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/19 03:20:00+00,23:20:00,7,23,2021,0810,08,261635435001002,Brightmoor,1,48223,-83.244946333158,42.4023619245363,84648
-83.2086052769999,42.3525457640001,3621429,2104230008,Belton Ave & Grandmont Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/23 08:00:00+00,04:00:00,5,4,2021,0611,06,261635454001004,Garden View,7,48228,-83.2086052769209,42.3525457638353,84847
-83.054668621,42.4152193620001,3621764,2104230360,Luce St & Eureka St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/24 06:50:00+00,02:50:00,6,2,2021,1111,11,261635113003013,Davison,3,48212,-83.054668620929,42.4152193618032,84883
-83.0953223779999,42.446797174,3623174,2104270413,8 Mile Rd & S I 75 Service Drive,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/28 06:59:00+00,02:59:00,3,2,2021,1101,11,261635081004003,Nolan,3,48203,-83.0953223784297,42.4467971738991,85069
-83.126994603,42.417381053,3623597,2104280395,Normandy St & W McNichols Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/29 05:38:00+00,01:38:00,4,1,2021,1212,12,261635301003005,Martin Park,2,48221,-83.1269946028156,42.4173810525375,85111
-83.158930345,42.3836569640001,3625724,2105040102,Wyoming St & W Buena Vista St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/04 13:02:00+00,09:02:00,2,9,2021,0205,02,261635342005016,Grand River-I96,7,48238,-83.1589303445009,42.3836569643088,85393
-83.140634173,42.4146990620001,3626149,2105050148,Grove St & Livernois Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/05 20:25:00+00,16:25:00,3,16,2021,1212,12,261635302004000,Martin Park,2,48221,-83.1406341725982,42.4146990617032,85457
-83.1938313969999,42.4016728180001,3628945,2105130015,Coyle St & Fenkell St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/13 08:20:00+00,04:20:00,4,4,2021,0202,02,261635377003000,Hubbell-Lyndon,1,48227,-83.1938313966078,42.4016728183436,85809
-83.18704053,42.4115757490001,3630473,2105160300,Mark Twain St & Florence St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/17 05:20:00+00,01:20:00,1,1,2021,0201,02,261635376002006,Hubbell-Puritan,1,48235,-83.1870405303796,42.4115757485669,86018
-83.144005411,42.3535461550001,3633345,2105240021,American St & Garden St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/24 08:57:00+00,04:57:00,1,4,2021,0210,02,261635346001011,Midwest,6,48204,-83.1440054109629,42.35354615453,86399
-83.096870294,42.388580894,3633753,2105240367,Hamilton Ave & Burlingame St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/25 03:50:00+00,23:50:00,1,23,2021,1005,10,261635322002005,Gateway Community,5,48202,-83.0968702941618,42.3885808938793,86470
-83.027513326,42.4329924630001,3634963,2105270362,E Brentwood St & Packard St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/05/28 05:15:00+00,01:15:00,5,1,2021,1109,11,261635063001002,Grant,3,48234,-83.0275133261009,42.4329924633067,86673
-83.052800404,42.4359186290001,3636277,2105310246,Emery St & Conley St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/01 02:47:00+00,22:47:00,1,22,2021,1103,11,261635066002005,Farwell,3,48234,-83.0528004035951,42.4359186285875,86853
