X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,oid
-83.22718828,42.42262342,3644846,2106210292,Stahelin Ave & Curtis St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/22 02:54:00+00,22:54:00,1,22,2021,807,8,2.62E+14,Evergreen-Outer Drive,1,48219,-83.22718828,42.42262342,88092
-83.15390981,42.42246216,3644850,2106210243,Thatcher St & Northlawn St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/21 08:00:00+00,4:00:00,1,4,2021,1208,12,2.62E+14,Bagley,2,48221,-83.15390981,42.42246216,88094
-83.19378932,42.38719429,3644325,2106200062,Schoolcraft St & Coyle St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/20 11:33:00+00,7:33:00,7,7,2021,202,2,2.62E+14,Schoolcraft Southfield,1,48227,-83.19378932,42.38719429,403361
-83.12740354,42.34083738,3644236,2106190320,Livernois Ave & McGraw St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/20 05:50:00+00,1:50:00,7,1,2021,402,4,2.62E+14,Claytown,6,48210,-83.12740354,42.34083738,87985
-83.01644946,42.43912854,3643727,2106180147,E Outer Dr & ,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/18 18:25:00+00,14:25:00,5,14,2021,1105,11,2.62E+14,Nortown,3,48234,-83.01644946,42.43912854,87904
-83.04370529,42.44073154,3643111,2106160304,E Outer Dr & Mound Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/17 05:00:00+00,1:00:00,4,1,2021,1104,11,2.62E+14,Farwell,3,48234,-83.04370529,42.44073153,299240
-83.02450559,42.44134969,3642410,2106140415,E Outer Dr & Van Dyke St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/15 06:42:00+00,2:42:00,2,2,2021,1105,11,2.62E+14,Conner Creek,3,48234,-83.02450559,42.44134969,87697
-82.97585199,42.4495378,3643453,2106170371,8 Mile Rd & Regent Dr,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/15 05:11:00+00,1:11:00,2,1,2021,902,9,2.62E+14,Mohican Regent,3,48205,-82.97585199,42.4495378,193295
-83.24477693,42.41500266,3642047,2106140011,W McNichols Rd & Patton St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/14 08:05:00+00,4:05:00,1,4,2021,806,8,2.62E+14,Holcomb Community,1,48219,-83.24477693,42.41500266,299069
-82.98899722,42.35538698,3641887,2106130169,E Jefferson Ave & Fischer Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/06/13 21:09:00+00,17:09:00,7,17,2021,711,7,2.62E+14,Gold Coast,5,48214,-82.98899722,42.35538698,402951
